position,temperature,humidity,moisture,time,createdAt,updatedAt,__v
Malabe,31.8,71,1491,2025-04-08 11:22:12.611,2025-04-08 11:22:12.612,2025-04-08 11:22:12.612,0
Malabe,31.8,71,1475,2025-04-08 11:27:19.594,2025-04-08 11:27:19.598,2025-04-08 11:27:19.598,0
Malabe,31.8,73,1489,2025-04-08 11:32:27.888,2025-04-08 11:32:27.892,2025-04-08 11:32:27.892,0
Malabe,31.8,72,1456,2025-04-08 11:37:32.253,2025-04-08 11:37:32.254,2025-04-08 11:37:32.254,0
Malabe,31.8,74,1513,2025-04-08 11:42:35.854,2025-04-08 11:42:35.855,2025-04-08 11:42:35.855,0
Malabe,31.3,71,1461,2025-04-08 11:47:39.471,2025-04-08 11:47:39.471,2025-04-08 11:47:39.471,0
Malabe,31.3,72,1458,2025-04-08 11:52:43.008,2025-04-08 11:52:43.008,2025-04-08 11:52:43.008,0
Malabe,31.3,74,1470,2025-04-08 11:57:46.533,2025-04-08 11:57:46.533,2025-04-08 11:57:46.533,0
Malabe,31.3,72,1477,2025-04-08 12:02:50.147,2025-04-08 12:02:50.147,2025-04-08 12:02:50.147,0
Malabe,31.3,75,1475,2025-04-08 12:07:53.747,2025-04-08 12:07:53.747,2025-04-08 12:07:53.747,0
Malabe,31.3,75,1474,2025-04-08 12:12:57.265,2025-04-08 12:12:57.266,2025-04-08 12:12:57.266,0
Malabe,30.8,75,1501,2025-04-08 12:18:00.908,2025-04-08 12:18:00.909,2025-04-08 12:18:00.909,0
Malabe,30.8,75,1492,2025-04-08 12:23:04.531,2025-04-08 12:23:04.532,2025-04-08 12:23:04.532,0
Malabe,30.8,77,1469,2025-04-08 12:28:08.128,2025-04-08 12:28:08.128,2025-04-08 12:28:08.128,0
Malabe,30.8,78,1490,2025-04-08 12:33:11.626,2025-04-08 12:33:11.626,2025-04-08 12:33:11.626,0
Malabe,30.8,77,1488,2025-04-08 12:38:15.154,2025-04-08 12:38:15.154,2025-04-08 12:38:15.154,0
Malabe,30.8,77,1505,2025-04-08 12:43:18.773,2025-04-08 12:43:18.773,2025-04-08 12:43:18.773,0
Malabe,30.2,79,1461,2025-04-08 12:48:25.890,2025-04-08 12:48:25.895,2025-04-08 12:48:25.895,0
Malabe,30.2,80,1482,2025-04-08 12:53:33.475,2025-04-08 12:53:33.479,2025-04-08 12:53:33.479,0
Malabe,30.2,80,1517,2025-04-08 12:58:41.429,2025-04-08 12:58:41.433,2025-04-08 12:58:41.433,0
Malabe,30.2,81,1475,2025-04-08 13:03:46.179,2025-04-08 13:03:46.180,2025-04-08 13:03:46.180,0
Malabe,30.2,82,1477,2025-04-08 13:08:49.820,2025-04-08 13:08:49.820,2025-04-08 13:08:49.820,0
Malabe,30.2,82,1509,2025-04-08 13:13:53.437,2025-04-08 13:13:53.438,2025-04-08 13:13:53.438,0
Malabe,29.8,84,1516,2025-04-08 13:18:56.983,2025-04-08 13:18:56.983,2025-04-08 13:18:56.983,0
Malabe,29.8,84,1478,2025-04-08 13:24:00.601,2025-04-08 13:24:00.601,2025-04-08 13:24:00.601,0
Malabe,29.8,84,1463,2025-04-08 13:29:04.239,2025-04-08 13:29:04.239,2025-04-08 13:29:04.239,0
Malabe,29.8,84,1493,2025-04-08 13:34:07.769,2025-04-08 13:34:07.769,2025-04-08 13:34:07.769,0
Malabe,29.8,84,1483,2025-04-08 13:39:11.268,2025-04-08 13:39:11.269,2025-04-08 13:39:11.269,0
Malabe,29.8,85,1487,2025-04-08 13:44:14.866,2025-04-08 13:44:14.866,2025-04-08 13:44:14.866,0
Malabe,29.8,79,1513,2025-04-08 13:49:18.396,2025-04-08 13:49:18.397,2025-04-08 13:49:18.397,0
Malabe,29.8,82,1472,2025-04-08 13:54:22.117,2025-04-08 13:54:22.117,2025-04-08 13:54:22.117,0
Malabe,29.4,77,1498,2025-04-08 13:59:25.722,2025-04-08 13:59:25.722,2025-04-08 13:59:25.722,0
Malabe,29.8,77,1482,2025-04-08 14:04:29.347,2025-04-08 14:04:29.347,2025-04-08 14:04:29.347,0
Malabe,29.8,77,1503,2025-04-08 14:09:34.609,2025-04-08 14:09:34.609,2025-04-08 14:09:34.609,0
Malabe,29.8,79,1476,2025-04-08 14:14:38.227,2025-04-08 14:14:38.227,2025-04-08 14:14:38.227,0
Malabe,29.8,80,1486,2025-04-08 14:19:41.763,2025-04-08 14:19:41.763,2025-04-08 14:19:41.763,0
Malabe,29.3,78,1486,2025-04-08 14:24:45.360,2025-04-08 14:24:45.360,2025-04-08 14:24:45.360,0
Malabe,29.8,78,1474,2025-04-08 14:29:48.987,2025-04-08 14:29:48.988,2025-04-08 14:29:48.988,0
Malabe,29.3,74,1504,2025-04-08 14:34:52.485,2025-04-08 14:34:52.485,2025-04-08 14:34:52.485,0
Malabe,29.3,74,1476,2025-04-08 14:39:56.002,2025-04-08 14:39:56.002,2025-04-08 14:39:56.002,0
Malabe,29.8,76,1475,2025-04-08 14:44:59.519,2025-04-08 14:44:59.519,2025-04-08 14:44:59.519,0
Malabe,29.3,75,1465,2025-04-08 14:50:03.126,2025-04-08 14:50:03.126,2025-04-08 14:50:03.126,0
Malabe,29.3,72,1517,2025-04-08 14:55:06.644,2025-04-08 14:55:06.644,2025-04-08 14:55:06.644,0
Malabe,29.3,72,1498,2025-04-08 15:00:10.174,2025-04-08 15:00:10.175,2025-04-08 15:00:10.175,0
Malabe,29.3,72,1494,2025-04-08 15:05:17.316,2025-04-08 15:05:17.319,2025-04-08 15:05:17.319,0
Malabe,29.3,72,1496,2025-04-08 15:10:21.826,2025-04-08 15:10:21.827,2025-04-08 15:10:21.827,0
Malabe,29.3,72,1517,2025-04-08 15:15:25.529,2025-04-08 15:15:25.529,2025-04-08 15:15:25.529,0
Malabe,29.3,72,1520,2025-04-08 15:20:29.280,2025-04-08 15:20:29.280,2025-04-08 15:20:29.280,0
Malabe,29.3,72,1520,2025-04-08 15:25:32.872,2025-04-08 15:25:32.872,2025-04-08 15:25:32.872,0
Malabe,29.3,72,1522,2025-04-08 15:30:36.499,2025-04-08 15:30:36.499,2025-04-08 15:30:36.499,0
Malabe,29.3,72,1515,2025-04-08 15:35:40.116,2025-04-08 15:35:40.117,2025-04-08 15:35:40.117,0
Malabe,29.3,72,1522,2025-04-08 15:40:43.591,2025-04-08 15:40:43.591,2025-04-08 15:40:43.591,0
Malabe,29.3,72,1520,2025-04-08 15:45:50.860,2025-04-08 15:45:50.864,2025-04-08 15:45:50.864,0
Malabe,29.3,72,1483,2025-04-08 15:50:58.588,2025-04-08 15:50:58.592,2025-04-08 15:50:58.592,0
Malabe,29.3,72,1488,2025-04-08 15:56:02.987,2025-04-08 15:56:02.987,2025-04-08 15:56:02.987,0
Malabe,29.3,74,1521,2025-04-08 16:01:06.622,2025-04-08 16:01:06.622,2025-04-08 16:01:06.622,0
